address	latitude_permanence	longitude_permanence
Rue des Sandrinettes  7033 Mons (Cuesmes)	50.4450851	3.9195648
Rue des Sports  7500 Tournai (Tournai)	50.5986549	3.3840537
Rue des Trois Ponts  4500 Huy (Huy)	50.5132684	5.2392565
Rue devant les Religieuses  4960 Malmedy (Malmedy)	50.425622	6.024393
Rue du Chalet  6980 La Roche-en-Ardenne (La Roche-en-Ardenne)	50.1800996	5.5747389
Rue du Circuit  5575 Gedinne (Patignies)	49.9941109	4.9647435
Rue du Commerce  7301 Boussu (Hornu)	50.4349012	3.8304704
Rue du Fortin  6600 Bastogne (Bastogne)	49.9876253	5.7017522
Rue du Fourneau  4900 Spa (Spa)	50.4926146	5.8594848
Rue du March√© couvert  5590 Ciney (Ciney)	NA	NA
Rue du March√© Couvert  5590 Ciney (Ciney)	NA	NA
Rue du MarchÈ Couvert  5590 Ciney (Ciney)	50.3106676	5.1193329
Rue du Moulin  6760 Virton (Virton)	49.5650257	5.5351778
Rue du Parc  4800 Verviers (Verviers)	50.5826938	5.8587163
Rue du Parc Industriel  6900 Marche-en-Famenne	50.2151323	5.3170034
Rue du Pr√©sident Coty  59200 FRA-Tourcoing	NA	NA
Rue du Roi Albert  4680 Oupeye (Oupeye)	50.7030239	5.6529102
Rue du Stordoir  5030 Gembloux (Sauveni√®re)	NA	NA
Rue du Stordoir  5030 Gembloux (SauveniËre)	50.5807593	4.7154351
Rue du Viveroux 2A 5620 Florennes (Florennes)	NA	NA
Rue du Vivier  6900 Marche-en-Famenne (Aye)	50.2244872	5.3009737
Rue Edmond de S√©lys Longchamps  4300 Waremme (Waremme)	NA	NA
Rue Edmond de SÈlys Longchamps  4300 Waremme (Waremme)	50.6921704	5.2442874
Rue Ernest Malvoz  4300 Waremme (Waremme)	50.6942595	5.2571811
Rue Ferrer  1480 Tubize (Tubize)	50.6897826	4.1991217
Rue Ferrer  7100 La Louvi√®re (Haine-Saint-Paul)	NA	NA
Rue Ferrer  7100 La LouviËre (Haine-Saint-Paul)	50.4745658	4.2145508
Rue Fleurie 19A 6800 Libramont-Chevigny (Libramont)	49.9276423	5.36676115
Rue Georges Simenon  4020 Li√®ge (Li√®ge)	NA	NA
Rue Gilles MagnÈe  4430 Ans (Ans)	50.6611674	5.5278817
Rue Gustave Linet  1495 Villers-la-Ville (Sart-Dames-Avelines)	50.5599744	4.4837378
Rue Haute;Hoogstraat  1000 Bruxelles (Bruxelles);Brussel (Brussel)	50.8412817	4.3517492
Rue Horace Pi√©rard  6060 Charleroi (Gilly)	NA	NA
Rue Horace PiÈrard  6060 Charleroi (Gilly)	50.4185924	4.475193
Rue Jean Paquot  1050 Elsene (Elsene)	50.8252753	4.3795339
Rue Jean Simon  4860 Pepinster (Pepinster)	50.5659713	5.8018049
Rue Joseph Wauters  4280 Hannut (Hannut)	50.6731618	5.0909976
Rue La Ringe  5550 Vresse-sur-Semois (Alle)	49.8371466	4.9692721
Rue Laplace  4100 Seraing (Seraing)	50.5797696	5.491721
Rue Louis Caty  7331 Saint-Ghislain (Baudour)	50.4722528	3.8417789
Rue Marconi  1190 Vorst (Vorst)	50.8180679	4.3423752
Rue Maria Thom√©e	NA	NA
Rue Maria ThomÈe	50.6349252	3.7775883
Rue Mitoyenne  4840 Welkenraedt	50.6618186	5.9794459
Rue Parmentier  7100 La Louvi√®re (La Louvi√®re)	NA	NA
Rue Parmentier  7100 La LouviËre (La LouviËre)	50.488705	4.2048356
Rue Pierre Caille  7500 Tournai (Tournai)	50.6078663	3.3991829
Rue Pr√©s-Champs  4671 Blegny (Barchon)	NA	NA
Rue PrÈs-Champs  4671 Blegny (Barchon)	50.6629726	5.6917738
Rue Ransonnet  4020 Li√®ge (Li√®ge)	NA	NA
Rue Ransonnet  4020 LiËge (LiËge)	50.6438071	5.5869687
Rue S√©minaire  5150 Floreffe (Floreffe)	NA	NA
Rue Saint-Antoine  6740 Etalle (Etalle)	49.6758608	5.5997785
Rue Saint-Jacques  5500 Dinant (Dinant)	50.2628729	4.911417
Rue Sainte-Anne  4460 Gr‚ce-Hollogne (Hollogne-aux-Pierres)	NA	NA
Rue Sainte-Anne  4460 Gr√¢ce-Hollogne (Hollogne-aux-Pierres)	NA	NA
Rue Sainte-Brigide  5070 Fosses-la-Ville (Fosses-la-Ville)	50.3994946	4.7013921
Rue Samiette  1400 Nivelles (Nivelles)	50.5954075	4.3142348
Rue Simon Lobet  4800 Verviers (Verviers)	50.5853042	5.8707871
Rue sous le Ch‚teau 1A 5580 Rochefort (Rochefort)	NA	NA
Rue sous le Ch√¢teau 1A 5580 Rochefort (Rochefort)	NA	NA
Rue Verte  7000 Mons (Mons)	50.456183	3.9549571
Rue Verte Voie  4041 Herstal (Vottem)	NA	NA
Rue Wayez  1420 Braine-l'Alleud (Braine-l'Alleud)	50.6838751	4.368777
schaffensesteenweg  3583 beringen (paal)	51.0390853	5.1508937
Schavei  3090 Overijse (Overijse)	50.7743242	4.530674
Schiepse Bos  3600 Genk (Genk)	50.9579868	5.5213783
Schijnpoortweg  2170 Antwerpen (Merksem)	51.2323719	4.4416841
Schutterijstraat  9800 Deinze (Deinze)	50.9852465	3.5280982
Sint-Gerolflaan 12A 9880 Aalter (Aalter)	51.0866825	3.44752096754123
Sint-Jansvliet  2000 Antwerpen (Antwerpen)	51.2187608	4.3964332
Sint-Jozeflei  2390 Malle (Westmalle)	51.2988606	4.6930804
Sint-Lucaslaan  8310 Brugge (Assebroek)	51.185303	3.2469818
Sint-Maternuswal  3700 Tongeren (Tongeren)	50.7831806	5.4625622
Sint-Rembertlaan  8820 Torhout (Torhout)	51.0701519	3.0987369
Sint-Vincentiusstraat  2018 Antwerpen (Antwerpen)	51.2067823	4.4147062
Spoorweglaan  2610 Antwerpen (Wilrijk)	51.1735114	4.4233127
Staaien  3800 Sint-Truiden (Sint-Truiden)	50.8136133	5.1679145
Stadionlaan  3550 Heusden-Zolder (Zolder)	51.0396926	5.3175008
Stadionplein  3600 Genk (Waterschei-Zwartberg)	NA	NA
Stadsomvaart  3500 Hasselt (Hasselt)	50.9266007	5.34184
Stadsplein  3600 Genk (Genk)	50.9652633	5.4955093
Statiestraat  3290 Diest (Diest)	50.9890986	5.0511526
Stationsstraat  8650 Houthulst (Merkem)	50.9532152	2.8531949
Steenplein  2000 Antwerpen (Antwerpen)	51.221371	4.3970306
Steenvoordelaan  9050 Gent (Gentbrugge)	51.0356982	3.756864
Stefaan-Modest Glorieuxlaan  9600 Ronse (Ronse)	50.7528575	3.6017071
Stelenseweg  2440 Geel (Geel)	51.1564191	4.9864742
Strandweg  2275 Lille (Gierle)	51.2887615	4.8545285
Terbankstraat  3001 Leuven (Heverlee)	50.878674	4.662087
Thonetlaan  2050 Antwerpen (Antwerpen)	51.2314766	4.3917159
Thor Park  3600 Genk (Waterschei)	50.995	5.53689008295761
Tour Saint-Pierre  7900 Leuze-en-Hainaut (Leuze-en-Hainaut)	50.6004756	3.6214425
Turnhoutsebaan  2390 Malle (Oostmalle)	51.3014303	4.7473698
Twee-Bruggenstraat  8530 Harelbeke (Harelbeke)	50.8506531	3.3012255
Vanhamstraat  1501 Halle (Buizingen)	50.7517498	4.2558529
Velodroomstraat  8400 Oostende (Oostende)	51.22421	2.9054422
Veltwijcklaan  2180 Antwerpen (Ekeren)	51.2815384	4.4365139
Vennbahnstra√üe  4780 Sankt Vith (Sankt Vith)	NA	NA
Veurtstraat  2870 Puurs-Sint-Amands (Breendonk)	51.0385468	4.3260201
Vijfseweg  8790 Waregem (Waregem)	50.8934519	3.4257831
Vlasmarkt  3700 Tongeren (Tongeren)	50.7801345	5.4643272
Vlassenhout  9200 Dendermonde (Sint-Gillis-Bij-Dendermonde)	51.0323773	4.1320699
Vorselaarsebaan  2200 Herentals (Herentals)	51.1883054	4.8336846
Vredelaan  2490 Balen (Balen)	51.1709147	5.1751897
Vrijheidstraat  9300 Aalst (Aalst)	50.9387876	4.0329308
Warandestraat  9770 Kruisem (Kruishoutem)	50.8998933	3.5204155
Welvaartstraat  2530 Boechout (Boechout)	51.1630938	4.4847909
Zakkaai  9500 Geraardsbergen (Geraardsbergen)	50.7750326	3.8795969
Zandbergen  2480 Dessel (Dessel)	51.2310953	5.0723254
Zavelstraat  9190 Stekene (Stekene)	51.2056884	4.0520969
Zeelaan  8670 Koksijde (Koksijde)	51.1050071	2.6505269
Ziekenhuislaan  1500 Halle (Halle)	50.7334817	4.2289032
Zomerlei  2650 Edegem (Edegem)	51.1541295	4.4516077
Zomerstraat  2590 Berlaar (Berlaar)	51.1142045	4.6468142
Zoning Industriel 1√®re rue  6040 Charleroi (Jumet)	NA	NA
Zoning Industriel 1Ëre rue  6040 Charleroi (Jumet)	NA	NA
Zwarte Brugstraat  3500 Hasselt (Hasselt)	50.9441578	5.3285428
NA	NA	NA
